loadable,dla,buffers,runs,samples,host_time,device_time,total_energy,base_energy
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2048.nvdla,0,8,2,8388608,424.841,424.384,7.3242,4.76691
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2048.nvdla,1,8,2,8388608,425.376,424.9,7.39238,4.7626
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b128.nvdla,0,8,39,10223616,915.55,915.119,13.6448,10.1915
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b128.nvdla,1,8,39,10223616,940.818,940.411,14.2521,11.1039
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b512.nvdla,0,8,9,9437184,480.393,480.124,8.49926,5.64636
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b512.nvdla,1,8,9,9437184,481.246,480.96,8.47106,5.67054
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2.nvdla,0,1953,10,9999360,1736.29,1735.73,25.2873,19.319
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2.nvdla,1,1953,10,9999360,1779.59,1779.05,25.8004,20.0246
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b64.nvdla,0,61,10,9994240,534.543,534.454,9.04725,6.08298
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b64.nvdla,1,61,10,9994240,536.338,536.092,9.11366,5.94246
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b4.nvdla,0,976,10,9994240,1057.63,1057.7,17.2034,11.9011
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b4.nvdla,1,976,10,9994240,1132.59,1132.11,17.1829,12.6577
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b512.nvdla,0,8,9,9437184,844.793,844.353,12.4401,9.51085
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b512.nvdla,1,8,9,9437184,863.99,863.542,12.7027,9.69487
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1.nvdla,0,244,163,10181632,3519.71,3519.14,47.8796,39.3776
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1.nvdla,1,244,163,10181632,3670.61,3670.25,48.8655,41.1253
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b8.nvdla,0,30,166,10199040,1139.48,1139.26,16.5465,12.7649
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b8.nvdla,1,30,166,10199040,1171,1170.77,16.9054,13.1501
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1.nvdla,0,3906,10,9999360,2993.55,2993.16,44.897,33.8905
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1.nvdla,1,3906,10,9999360,3052.72,3052.33,45.3082,34.2203
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b64.nvdla,0,8,78,10223616,925.922,925.678,13.5307,10.4978
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b64.nvdla,1,8,78,10223616,953.532,953.29,13.851,10.5255
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2048.nvdla,0,8,2,8388608,719.297,719.302,10.4741,8.08695
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2048.nvdla,1,8,2,8388608,739.318,738.933,10.7449,8.31234
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,0,8,4,8388608,425.509,425.234,7.35343,4.75033
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,1,8,4,8388608,425.983,425.946,7.37597,4.75394
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,0,122,10,9994240,564.832,564.74,9.48216,6.27524
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,1,122,10,9994240,567.478,567.232,9.51378,6.29303
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,0,488,10,9994240,755.723,755.67,12.4078,8.43819
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,1,488,10,9994240,759.692,759.715,12.5204,8.47327
